Postotak popunjenosti stranice,Razina stranice prikaza,Vrijeme reakcije operatera
34,3,14.748312784435333
52,8,51.91360154590657
50,2,25.34550217734533
53,1,9.595540134493273
47,4,26.17935916431692
45,3,20.533811986213173
67,9,68.29773366100628
47,7,55.50601229967623
62,4,34.82636915077017
57,8,55.67330151917167
49,3,28.236244071862295
39,4,29.494353341545974
53,10,67.4659075000908
51,5,48.69182438943198
44,10,67.02992635564715
48,1,20.601328021500176
48,0,6.5
40,8,46.439909138014336
59,1,19.687596021000033
59,0,6.5
23,8,43.908292644562025
57,4,38.967599651489195
57,0,11.0
78,4,32.91175191563093
78,0,11.0
78,0,5.0
49,8,44.088551382774064
61,3,33.601108274286304
60,6,47.25507259790824
73,8,62.67900287850715
44,4,33.89595637228775
50,5,37.74921846475945
53,3,27.674542696292505
53,0,9.5
36,9,52.28898850683601
42,9,72.93567989413867
56,3,30.264497626545598
66,9,62.11550192044522
44,7,52.18016143296652
42,9,68.25729304208156
63,5,45.03056168749903
55,6,43.49330521272178
42,10,77.83808945724233
38,2,26.017052181814222
55,9,57.47612983291103
45,7,51.26211211380072
45,7,55.9453853369278
58,3,29.22442221469611
55,4,31.69397080638537
37,8,55.37526752977451
45,1,17.020325350385164
51,10,64.42557789214061
44,5,40.92991228577985
50,8,54.782594697612886
37,6,43.50329029397097
44,9,68.41040589827551
74,5,51.72896058452855
56,1,14.665250449806363
48,10,62.29037345798466
51,9,64.69922414075468
54,6,48.07858483827016
41,10,68.25005862601273
63,8,66.79250519900012
53,3,34.11741682827511
56,9,60.98726303067291
58,2,25.854545399214537
50,7,54.52400810632549
63,8,58.11777791224091
34,4,34.94791802534757
38,1,9.851801732007859
63,8,54.156576400202766
38,6,39.18399118178009
61,6,44.24494064262766
46,10,69.81053576353676
46,0,20.0
52,5,36.197229440556455
56,10,76.72685824057301
46,9,69.64688690988072
45,1,18.520325350385164
48,4,27.19012634994969
44,2,19.881126174016693
47,7,42.10524234735518
55,6,52.117322744729336
55,3,29.954451248046944
